Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
511557,Pro Fin Capital Services Ltd,PROFINC,PRO FIN CAPITAL SERVICES LTD.,Active,X ,10.00,INE732K01019,Misc.Commercial Services,Equity,
511559,Times Guaranty Ltd.,TIMESGTY,TIMES GUARANTY LTD.,Active,B ,10.00,INE289C01025,Finance (including NBFCs),Equity,
511571,Som Datt Finance Corporation Ltd.,SODFC,SOM DATT FINANCE CORPORATION LTD.,Active,X ,10.00,INE754C01010,Finance (including NBFCs),Equity,
511577,Savani Financials Ltd.,SAVFI,SAVANI FINANCIALS LTD.,Active,XT,10.00,INE304E01010,Finance (including NBFCs),Equity,
511585,Regency Trust Ltd.,REGTRUS,REGENCY TRUST LTD.,Active,X ,1.00,INE425F01028,Finance (including NBFCs),Equity,
511589,Avonmore Capital & Management Services Limited,AVONMORE,Avonmore Capital & Management Services Limited,Active,X ,10.00,INE323B01016,Finance (including NBFCs),Equity,
511593,Libord Finance Limited,LIBORDFIN,Libord Finance Ltd,Active,X ,10.00,INE212B01011,Finance (including NBFCs),Equity,
511597,Palsoft Infosystems Ltd.,PALSOFT,PALSOFT INFOSYSTEMS LTD.,Active,Z ,10.00,INE969B01016,Finance (including NBFCs),Equity,
511601,Yash Management & Satellite Ltd.,YASHMGM,YASH MANAGEMENT & SATELLITE LTD.,Active,X ,10.00,INE216B01012,Comm.Trading  & Distribution,Equity,
511605,Arihant Capital Markets Ltd.,ARIHCAPM,ARIHANT CAPITAL MARKETS LTD.,Active,B ,5.00,INE420B01028,Other Financial Services,Equity,
511609,ISL Consulting Ltd,ISLCONSUL,ISL CONSULTING LTD.,Active,X ,5.00,INE569B01022,Finance (including NBFCs),Equity,
511611,DCM Financial Services Ltd.,DCMFINSERV,DCM FINANCIAL SERVICES LTD.,Active,B ,10.00,INE891B01012,Finance (including NBFCs),Equity,
511628,IM+ Capitals Limited,IMCAP,IM+ Capitals Limited,Active,X ,10.00,INE417D01012,Finance (including NBFCs),Equity,
511630,Sambhaav Media Ltd.,SAMBHAAV,SAMBHAAV MEDIA LTD.,Active,T ,1.00,INE699B01027,Publishing,Equity,
511634,Dugar Housing Developments Limited,DUGARHOU,DUGAR HOUSING DEVELOPMENTS LTD.,Active,P ,10.00,INE919M01018,Construction & Engineering,Equity,
511654,Sugal & Damani Share Brokers Ltd.,SUGALDAM,SUGAL & DAMANI SHARE BROKERS LTD.,Active,X ,10.00,INE309D01011,Finance (including NBFCs),Equity,
511658,Nettlinx Ltd.,NETTLINX,NETTLINX LTD.,Active,X ,10.00,INE027D01019,IT Software Products,Equity,
511672,Scan Steels Limited,SCANSTL,Scan Steels Limited,Active,XT,10.00,INE099G01011,Iron & Steel/Interm.Products,Equity,
511676,GIC Housing Finance Ltd.,GICHSGFIN,GIC HOUSING FINANCE LTD.,Active,A ,10.00,INE289B01019,Housing Finance ,Equity,
511688,Mathew Easow Research Securities Lt,MATHEWE,MATHEW EASOW RESEARCH SECURITIES LTD.,Active,X ,10.00,INE963B01019,Finance (including NBFCs),Equity,
511692,Ajcon Global Services Ltd.,AJCON,AJCON GLOBAL SERVICES LTD.,Active,X ,10.00,INE759C01019,Other Financial Services,Equity,
511696,Chartered Capital & Investment Ltd.,CHRTEDCA,CHARTERED CAPITAL & INVESTMENT LTD.,Active,X ,10.00,INE953B01010,Other Financial Services,Equity,
511700,Standard Capital Markets Ltd.,STANCAP,STANDARD CAPITAL MARKETS LTD.,Active,XT,10.00,INE625D01010,Finance (including NBFCs),Equity,
511702,Parsharti Investments Ltd.,PARSHINV,PARSHARTI INVESTMENT LTD.,Active,X ,10.00,INE290E01011,Finance (including NBFCs),Equity,
511710,Cubical Financial Services Ltd.,CUBIFIN,CUBICAL FINANCIAL SERVICES LTD.,Active,X ,2.00,INE717D01023,Finance (including NBFCs),Equity,
511712,Relic Technologies Ltd.,RELICTEC,RELIC TECHNOLOGIES LTD.,Active,X ,10.00,INE452B01013,Other Financial Services,Equity,
511714,Nimbus Projects Limited,NIMBSPROJ,NIMBUS PROJECTS LTD.,Active,XT,10.00,INE875B01015,Realty,Equity,
511716,Escorts Finance Ltd.,ESCORTSFIN,ESCORTS FINANCE LTD.,Active,XT,10.00,INE359A01012,Finance (including NBFCs),Equity,
511724,Baid Leasing And Finance Co.Ltd.,BALFC,BAID LEASING AND FINANCE CO.LTD.,Active,X ,10.00,INE020D01014,Finance (including NBFCs),Equity,
511726,Vipul Limited,VIPUL,VIPUL LTD.,Active,T ,1.00,INE946H01037,Realty,Equity,
511728,K.Z.Leasing & Finance Ltd.,KZLFIN,K.Z.LEASING & FINANCE LTD.,Active,X ,10.00,INE006C01015,Finance (including NBFCs),Equity,
511730,TRC Financial Services Ltd.,TRCFIN,TRC FINANCIAL SERVICES LTD.,Active,X ,10.00,INE759D01017,Finance (including NBFCs),Equity,
511738,Mehta Securities Ltd.,MEHSECU,MEHTA SECURITIES LTD.,Active,XT,10.00,INE241B01010,Other Financial Services,Equity,
511742,UGRO CAPITAL LIMITED,UGROCAP,Ugro Capital Ltd,Active,X ,10.00,INE583D01011,Finance (including NBFCs),Equity,
511754,Shalibhadra Finance Ltd.,SAHLIBHFI,SHALIBHADRA FINANCE LTD.,Active,X ,10.00,INE861D01011,Finance (including NBFCs),Equity,
511756,Abirami Financial Services (India),ABIRAFN,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,Active,Z ,10.00,INE195I01013,Finance (including NBFCs),Equity,
511758,Mansi Finance (Chennai) Ltd,MANSIFIN,MANSI FINANCE (CHENNAI) LTD.,Active,XT,10.00,INE094E01017,Finance (including NBFCs),Equity,
511760,Seven Hill Industries Limited,SEVENHILL,Seven Hill Industries Limited,Active,X ,10.00,INE518D01017,Finance (including NBFCs),Equity,
511764,Upasana Finance Ltd.,UPASAFN,UPASANA FINANCE LTD.,Active,X ,10.00,INE819K01014,Finance (including NBFCs),Equity,
511766,Muthoot Capital Services Ltd.,MUTHTFN,MUTHOOT CAPITAL SERVICES LTD.,Active,B ,10.00,INE296G01013,Finance (including NBFCs),Equity,
511768,Master Trust Ltd.,MASTERTR,MASTER TRUST LTD.,Active,X ,5.00,INE677D01029,Finance (including NBFCs),Equity,
512004,"Nilkanth Engineering Ltd.,",ZNILKENG,NILKANTH ENGINEERING LTD.,Active,P ,10.00,INE582V01015,Misc.Commercial Services,Equity,
512008,"Amani Trading & Exports Ltd.,",AMANITRA,AMANI TRADING & EXPORTS LTD.,Active,XT,10.00,INE886D01018,Comm.Trading  & Distribution,Equity,
512011,"Tea Time Ltd.,",TEATIME,TEA TIME LTD.,Active,P ,10.00,INE237U01018,Comm.Trading  & Distribution,Equity,
512014,Sobhagya Merchantile Ltd.,SOBME,SOBHAGYA MERCHANTILE LTD.,Active,XT,10.00,INE754D01018,Misc.Commercial Services,Equity,
512018,CNI Research Ltd,CNIRESLTD,CNI RESEARCH LTD.,Active,X ,1.00,INE135H01029,Internet Software & Services,Equity,
512020,"Saraswati Commercial (India) Ltd.,",ZSARACOM,SARASWATI COMMERCIAL (INDIA) LTD.,Active,XT,10.00,INE967G01019,Finance (including NBFCs),Equity,
512022,"Winro Commercial (India) Ltd.,",WINROC,WINRO COMMERCIAL (INDIA) LTD.,Active,XT,10.00,INE837E01019,Other Financial Services,Equity,
512024,N.D.Metal Industries Ltd,NDMETAL,N.D.METAL INDUSTRIES LTD.,Active,X ,10.00,INE643D01013,Copper,Equity,
512025,Inertia Steel Limited,INERTIAST,INERTIA STEEL LTD.,Active,XT,10.00,INE767M01011,Misc.Commercial Services,Equity,
512026,PH Trading Ltd.,PHTRADING,PH TRADING LTD.,Active,ZP,10.00,INE603D01017,Comm.Trading  & Distribution,Equity,
512036,"Kapil Cotex  Ltd.,",KAPILCO,KAPIL COTEX LTD.,Active,XT,10.00,INE393H01016,Textiles,Equity,
512038,"Aaswa Trading & Export Ltd.,",ASWTR,AASWA TRADING & EXPORTS LTD.,Active,P ,10.00,INE887D01016,Comm.Trading  & Distribution,Equity,
512047,Royal India Corporation Limited,ROYALIND,Royal India Corporation Limited,Active,XT,10.00,INE510H01015,Other Apparels & Accessories,Equity,
512048,Luharuka Media & Infra Limited,LUHARUKA,Luharuka Media & Infra Ltd,Active,X ,1.00,INE195E01020,Realty,Equity,
512060,"Ventura Guaranty Ltd.,",SHYAM,VENTURA GUARANTY LTD.,Active,P ,10.00,INE139J01019,Misc.Commercial Services,Equity,
512062,"Sanmitra Commercial Ltd.,",ZSANMCOM,SANMITRA COMMERCIAL LTD.,Active,XT,10.00,INE896J01014,Misc.Commercial Services,Equity,
512063,"Ayoki Mercantile Ltd.,",AYOME,AYOKI MERCANTILE LTD.,Active,P ,10.00,INE048E01013,Comm.Trading  & Distribution,Equity,
512064,VISHVPRABHA VENTURES LIMITED,VISVEN,Vishvprabha Ventures Ltd,Active,XT,10.00,INE762D01011,Misc.Commercial Services,Equity,
512065,"Mrugesh Trading Ltd.,",MRUTR,MRUGESH TRADING LTD.,Active,XT,10.00,INE738D01011,Finance (including NBFCs),Equity,
512068,Deccan Gold Mines Ltd.,DECNGOLD,DECCAN GOLD MINES LTD.,Active,X ,1.00,INE945F01025,Mining,Equity,
512070,UPL Limited,UPL,UPL Limited,Active,A ,2.00,INE628A01036,Agrochemicals,Equity,
512091,"Anshuni Commercials Ltd.,",ANSHNCO,ANSHUNI COMMERCIALS LTD.,Active,P ,10.00,INE425H01016,Other Apparels & Accessories,Equity,
512093,Cranes Software International Ltd.,CRANESSOFT,CRANES SOFTWARE INTERNATIONAL LTD.,Active,XT,2.00,INE234B01023,IT Software Products,Equity,
512099,Punit Commercials Ltd,PUNITCO,PUNIT COMMERCIALS LTD.,Active,XT,10.00,INE750G01019,Other Apparels & Accessories,Equity,
512101,"Triochem Products Ltd.,",TRIPR,TRIOCHEM PRODUCTS LTD.,Active,XT,10.00,INE331E01013,Pharmaceuticals,Equity,
512103,Nidhi Granites Limited,NIDHGRN,NIDHI GRANITES LTD.,Active,X ,10.00,INE276H01013,Construction Materials,Equity,
512109,Aviva Industries Limited,AVIVA,AVIVA INDUSTRIES LTD.,Active,X ,10.00,INE461H01011,Comm.Trading  & Distribution,Equity,
512117,"Twin Roses Trades & Agencies Ltd.,",TWIROST,TWIN ROSES TRADES & AGENCIES LTD.,Active,XT,10.00,INE436U01016,Misc.Commercial Services,Equity,
512131,Signet Industries Limited,SIGNETIND,Signet Industries Limited,Active,B ,10.00,INE529F01035,Plastic Products,Equity,
512153,Specular Marketing and Financing Lt,SPECMKT,SPECULAR MARKETING & FINANCING LTD.,Active,P ,10.00,INE808W01012,Misc.Commercial Services,Equity,
512157,Terraform Realstate Limited,TERRAREAL,Terraform Realstate Limited,Active,P ,10.00,INE123V01018,Misc.Commercial Services,Equity,
512161,SECUREKLOUD TECHNOLOGIES LIMITED,SECURKLOUD,Securekloud Technologies Ltd,Active,B ,5.00,INE650K01021,Internet Software & Services,Equity,
512165,ABans Enterprises Limited,ABANSENT,Abans Enterprises Ltd,Active,X ,10.00,INE365O01010,Comm.Trading  & Distribution,Equity,
512169,Capricorn Systems Global Solutions Ltd.,CAPRICORN,CAPRICORN SYSTEMS GLOBAL SOLUTIONS LTD.,Active,XT,10.00,INE968E01012,Misc.Commercial Services,Equity,
512175,Vama Industries Limited,VAMA,VAMA INDUSTRIES LTD.,Active,X ,2.00,INE685D01022,IT Consulting & Software,Equity,
512179,Sunteck Realty Ltd,SUNTECK,SUNTECK REALTY LTD.,Active,A ,1.00,INE805D01034,Realty,Equity,
512195,Bentley Commercial Enterprises Ltd.,BENTCOM,BENTLEY COMMERCIAL ENTERPRISES LTD.,Active,P ,10.00,INE496M01017,Misc.Commercial Services,Equity,
512197,"Silver oak Commercial Ltd.,",SILVERO,SILVER OAK COMMERCIAL LTD.,Active,Z ,10.00,INE798C01017,Finance (including NBFCs),Equity,
512213,"Classic Electricals Ltd.,",CLASELE,CLASSIC ELECTRICALS LTD.,Active,XT,10.00,INE02BR01017,Comm.Trading  & Distribution,Equity,
512215,STEPHANOTIS FINANCE LIMITED,STEPHANOTIS,Stephanotis Finance Ltd,Active,XT,10.00,INE902L01016,Other Financial Services,Equity,
512217,Prism Medico and Pharmacy Ltd.,PRISMMEDI,PRISM MEDICO AND PHARMACY LTD.,Active,X ,10.00,INE730E01016,Finance (including NBFCs),Equity,
512221,SPV GLOBAL TRADING LIMITED,SPVGLOBAL,SPV Global Trading Ltd,Active,P ,10.00,INE177E01010,Finance (including NBFCs),Equity,
512229,Veritas (India) Limited,VERITAS,VERITAS (INDIA) LTD.,Active,XT,1.00,INE379J01029,Comm.Trading  & Distribution,Equity,
512237,Jai Corp Limited,JAICORPLTD,JAI CORP LTD.,Active,A ,1.00,INE070D01027,Plastic Products,Equity,
512245,"Nivi Trading Ltd.,",ZNIVITRD,NIVI TRADING LTD.,Active,P ,10.00,INE552F01011,Misc.Commercial Services,Equity,
512247,"Ashirwad Capital Ltd.,",ASHCAP,ASHIRWAD CAPITAL LTD.,Active,X ,1.00,INE894A01026,Other Financial Services,Equity,
512257,Swasti Vinayaka Art And Heritage Corporation Ltd,SVARTCORP,Swasti Vinayaka Art And Heritage Corporation Ltd,Active,X ,1.00,INE895A01023,Diversified,Equity,
512261,Bajaj Global Ltd,BAJGLOB,BAJAJ GLOBAL LTD.,Active,XT,10.00,INE553H01015,Comm.Trading  & Distribution,Equity,
512267,Media Matrix Worldwide Ltd.,MMWL,MEDIA MATRIX WORLDWIDE LTD.,Active,X ,1.00,INE200D01020,Movies & Entertainment,Equity,
512271,Tashi India Ltd.,TASHIND,TASHI INDIA LTD.,Active,XT,10.00,INE552H01017,Misc.Commercial Services,Equity,
512277,Autoriders International Ltd,AUTOINT,AUTORIDERS INTERNATIONAL LTD.,Active,XT,10.00,INE340U01010,Transportation - Logistics,Equity,
512279,N2N Technologies Limited,NNTL,N2N Technologies Limited,Active,Z ,10.00,INE043F01011,Misc.Commercial Services,Equity,
512291,"Speedage Commercials Ltd.,",ZSPEEDCO,SPEEDAGE COMMERCIALS LTD.,Active,P ,10.00,INE497M01015,Other Financial Services,Equity,
512296,Bhagyanagar India Limited,BHAGYNAGAR,BHAGYANAGAR INDIA LTD.,Active,B ,2.00,INE458B01036,Copper,Equity,
512297,Shantai Industries Limited,SHANTAI,Shantai Industries Ltd,Active,X ,10.00,INE408F01016,Industrial Machinery,Equity,
512301,Chambal Breweries & Distilleries Li,CHMBBRW,CHAMBAL BREWERIES & DISTILLERIES LTD.,Active,XT,10.00,INE417N01011,Comm.Trading  & Distribution,Equity,
512303,"Mansoon Trading Co. Ltd.,",ZMANSOON,MANSOON TRADING CO.LTD.,Active,P ,10.00,INE776V01013,Misc.Commercial Services,Equity,
512329,Kintech Renewables Limited,KRL,Kintech Renewables Ltd,Active,XT,10.00,INE385F01016,Misc.Commercial Services,Equity,
512337,"Mahashree Trading Ltd.,",MAHSHRE,MAHASHREE TRADING LTD.,Active,P ,10.00,INE924T01013,Comm.Trading  & Distribution,Equity,
512341,CES Limited,CESL,CES Limited,Active,XT,10.00,INE396F01013,BPO/KPO,Equity,
512344,"Aravali Securities & Finance Ltd.,",ARAVALIS,ARAVALI SECURITIES & FINANCE LTD.,Active,X ,10.00,INE068C01015,Comm.Trading  & Distribution,Equity,
512345,"Yash Trading & Finance Ltd.,",YASTF,YASH TRADING & FINANCE LTD.,Active,XT,10.00,INE745A01012,Other Financial Services,Equity,
512359,Sword-Edge Commercials Limited,SWORDEDGE,Sword-Edge Commercials Limited,Active,X ,10.00,INE093G01014,Comm.Trading  & Distribution,Equity,
512367,"Sheraton Properties & Finance Ltd.,",ZSHERAPR,SHERATON PROPERTIES & FINANCE LTD.,Active,P ,10.00,INE495M01019,Other Financial Services,Equity,
512377,"Magnanimous Trade & Finance Ltd.,",MAGANTR,MAGNANIMOUS TRADE & FINANCE LTD.,Active,XT,10.00,INE664N01018,Misc.Commercial Services,Equity,
512379,Cressanda Solutions Ltd.,CRESSAN,CRESSANDA SOLUTIONS LTD.,Active,XT,1.00,INE716D01033,IT Software Products,Equity,
512381,STARTECK FINANCE LIMITED,STARTECK,Starteck Finance Ltd,Active,X ,10.00,INE992I01013,Comm.Trading  & Distribution,Equity,
512393,Shardul Securities Ltd.,SHARDUL,SHARDUL SECURITIES LTD.,Active,X ,10.00,INE037B01012,Other Financial Services,Equity,
512399,"Kapashi Commercials Ltd.,",KAPASHI,KAPASHI COMMERCIALS LTD.,Active,XT,10.00,INE017I01019,Other Financial Services,Equity,
512404,"Bengal Steel Industries Ltd.,",BENGALS,BENGAL STEEL INDUSTRIES LTD.,Active,P ,10.00,INE523W01017,Iron & Steel/Interm.Products,Equity,
512408,Uniworth Securities Limited,UNIWSEC,UNIWORTH SECURITIES LTD.,Active,XT,10.00,INE728J01019,Textiles,Equity,
512415,"Mercury Trade Links Ltd.,",MERCTRD,MERCURY TRADE LINKS LTD.,Active,P ,10.00,INE319T01016,Misc.Commercial Services,Equity,
512425,"Nirav Commercials Ltd.,",NIRAVCOM,NIRAV COMMERCIALS LTD.,Active,X ,10.00,INE242B01018,Comm.Trading  & Distribution,Equity,
512433,Asutosh Enterprise Ltd.,ASUTENT,ASUTOSH ENTERPRISES LTD.,Active,P ,10.00,INE508W01018,Comm.Trading  & Distribution,Equity,
512437,"Apollo Finvest (India) Ltd.,",APOLLOFI,APOLLO FINVEST (INDIA) LTD.,Active,XT,10.00,INE412D01013,Other Financial Services,Equity,
512441,"Enbee Trade & Finance Ltd.,",ENBETRD,ENBEE TRADE & FINANCE LTD.,Active,XT,10.00,INE993I01011,Misc.Commercial Services,Equity,
512443,Ganon Products Limited,GANONPRO,Ganon Products Ltd,Active,XT,10.00,INE162L01017,Comm.Trading  & Distribution,Equity,
512445,"Devinsu Trading Ltd.,",DEVITRD,DEVINSU TRADING LTD.,Active,P ,10.00,INE07LH01016,Other Financial Services,Equity,
512453,Shri Jagdamba Polymers Ltd,SHRJAGP,SHRI JAGDAMBA POLYMERS LTD.,Active,X ,1.00,INE564J01026,Containers & Packaging,Equity,
512455,Lloyds Metals and Energy Limited,LLOYDSME,LLOYDS METALS AND ENERGY LTD.,Active,XT,1.00,INE281B01032,Iron & Steel/Interm.Products,Equity,
512461,"Punctual Trading Ltd.,",PUNCTRD,PUNCTUAL TRADING LTD.,Active,P ,10.00,INE07NX01019,Comm.Trading  & Distribution,Equity,
512463,Shree Global  Tradefin  L t d..,SHRGLTR,SHREE GLOBAL TRADEFIN LTD.,Active,X ,1.00,INE080I01025,Finance (including NBFCs),Equity,
512477,"Betex India Ltd.,",BETXIND,BETEX INDIA LTD.,Active,X ,10.00,INE765L01017,Textiles,Equity,
512479,Gayatri Tissue & Papers Ltd,GYTRIPA,GAYATRI TISSUE & PAPERS LTD.,Active,XT,10.00,INE661K01010,Realty,Equity,
512481,"Polytex India Ltd.,",POLYTEX,POLYTEX INDIA LTD.,Active,Z ,10.00,INE012F01016,Finance (including NBFCs),Equity,
512485,"Dhanlaxmi Cotex Ltd.,",DHANCOT,DHANLAXMI COTEX LTD.,Active,X ,10.00,INE977F01010,Comm.Trading  & Distribution,Equity,
512489,Oasis Securities Limited,OASISEC,OASIS SECURITIES LTD.,Active,X ,10.00,INE876A01015,Finance (including NBFCs),Equity,
512493,Garnet International Limited,GARNETINT,GARNET INTERNATIONAL LTD.,Active,XT,10.00,INE590B01010,Other Financial Services,Equity,
512499,Shalimar Productions Ltd.,SHALPRO,SHALIMAR PRODUCTIONS LTD.,Active,X ,1.00,INE435E01020,Other Financial Services,Equity,
512511,"Varun Mercantile Ltd.,",VARUNME,VARUN MERCANTILE LTD.,Active,XT,10.00,INE442U01014,Misc.Commercial Services,Equity,
512519,Donear Industries Ltd,DONEAR,DONEAR INDUSTRIES LTD.-$,Active,B ,2.00,INE668D01028,Textiles,Equity,
512522,"Neptune Exports Ltd.,",NEPTEXP,NEPTUNE EXPORTS LTD.,Active,P ,10.00,INE066X01015,Comm.Trading  & Distribution,Equity,
512527,Super Sales India Ltd.,SUPER,SUPER SALES INDIA LTD.-$,Active,X ,10.00,INE091C01017,Textiles,Equity,
512529,Sequent Scientific Limited,SEQUENT,SEQUENT SCIENTIFIC LTD.,Active,A ,2.00,INE807F01027,Pharmaceuticals,Equity,
512531,State Trading Corporation of India,STCINDIA,STATE TRADING CORPORATION OF INDIA LTD.,Active,B ,10.00,INE655A01013,Comm.Trading  & Distribution,Equity,
512553,Zenith Exports Ltd.,ZENITHEXPO,ZENITH EXPORTS LTD.,Active,T ,10.00,INE058B01018,Textiles,Equity,
512565,R.T.Exports Ltd.,RTEXPO,R.T.EXPORTS LTD.-$,Active,X ,10.00,INE581D01015,Comm.Trading  & Distribution,Equity,
512573,Avanti Feeds ltd.,AVANTI,AVANTI FEEDS LTD.-$,Active,A ,1.00,INE871C01038,Other Food Products,Equity,
512587,Zodiac-JRD-MKJ Ltd.,ZODJRDMKJ,ZODIAC-JRD-MKJ LTD.,Active,T ,10.00,INE077B01018,Other Apparels & Accessories,Equity,
512589,Sita Enterprises LTD.,SITAENT,SITA ENTERPRISES LTD.,Active,X ,10.00,INE579D01019,Comm.Trading  & Distribution,Equity,
512591,Pulsar International Limited,PULSRIN,PULSAR INTERNATIONAL LTD.,Active,P ,10.00,INE183U01014,Comm.Trading  & Distribution,Equity,
512595,Unimode Overseas Ltd.,UNIMOVR,UNIMODE OVERSEAS LTD.,Active,XT,10.00,INE348N01034,Other Apparels & Accessories,Equity,
512597,KEYNOTE FINANCIAL SERVICES LIMITED,KEYFINSER,Keynote Financial Services Ltd,Active,B ,10.00,INE681C01015,Finance (including NBFCs),Equity,
512599,Adani Enterprises Ltd.,ADANIENT,ADANI ENTERPRISES LTD.,Active,A ,1.00,INE423A01024,Comm.Trading  & Distribution,Equity,
512600,Macro (International) Exports ltd.,MACINTR,MACRO (INTERNATIONAL) EXPORTS LTD.,Active,X ,10.00,INE307N01014,Comm.Trading  & Distribution,Equity,
512604,Haria Exports Ltd.,HARIAEXPO,HARIA EXPORTS LTD.-$,Active,X ,10.00,INE772B01014,Other Apparels & Accessories,Equity,
512608,Bhandari Hosiery Exports Ltd.,BHANDHOS,BHANDARI HOSIERY EXPORTS LTD.,Active,B ,1.00,INE474E01029,Other Apparels & Accessories,Equity,
512618,RLF Ltd.,RLF,RLF LTD.,Active,XT,10.00,INE629C01014,Textiles,Equity,
512624,Regent Enterprises Limited,REGENTRP,Regent Enterprises Ltd,Active,XT,10.00,INE769D01016,Comm.Trading  & Distribution,Equity,
512626,Orbit Exports Ltd.,ORBTEXP,ORBIT EXPORTS LTD.,Active,B ,10.00,INE231G01010,Textiles,Equity,
512634,Savera Industries Ltd.,SAVERA,SAVERA INDUSTRIES LTD.,Active,X ,10.00,INE104E01014,Hotels,Equity,
513005,V.B.C. Ferro Alloys Ltd.,VBCFERROQ,VBC FERRO ALLOYS LTD.-$,Active,XT,10.00,INE114E01013,Iron & Steel/Interm.Products,Equity,
513010,TATA STEEL LONG PRODUCTS LIMITED,TATASTLLP,Tata Steel Long Products Ltd,Active,T ,10.00,INE674A01014,Iron & Steel/Interm.Products,Equity,
513023,Nava Bharat Ventures Ltd,NBVENTURES*,NAVA BHARAT VENTURES LTD.,Active,A ,2.00,INE725A01022,Electric Utilities,Equity,
513039,Hindusthan Udyog Ltd,ZHINUDYP,HINDUSTHAN UDYOG LTD.,Active,XT,10.00,INE582K01018,Industrial Machinery,Equity,
513043,Remi Edelstahl Tubulars Limited,REMIEDEL,Remi Edelstahl Tubulars Limited,Active,X ,10.00,INE158G01015,Iron & Steel Products,Equity,
513059,"G.S. Auto International Ltd.,",GSAUTO,G.S.AUTO INTERNATIONAL LTD.,Active,XT,5.00,INE736H01024,Auto Parts & Equipment,Equity,
513063,"Trans-Freight Containers Ltd.,",TRANSFRE,TRANS-FREIGHT CONTAINERS LTD.,Active,XT,10.00,INE360D01014,Iron & Steel Products,Equity,
513097,"Shivalik Bimetal Controls Ltd.,",SHBCLQ,SHIVALIK BIMETAL CONTROLS LTD.,Active,B ,2.00,INE386D01027,Electronic Components,Equity,
513108,"Gandhi Special Tubes Ltd.,",GANDHITUBE,GANDHI SPECIAL TUBES LTD.-$,Active,B ,5.00,INE524B01027,Iron & Steel Products,Equity,
513117,"Amforge Industries Ltd.,",AMFORG,AMFORGE INDUSTRIES LTD.,Active,X ,2.00,INE991A01020,Auto Parts & Equipment,Equity,
513121,Oricon Enterprises Ltd.,ORICON,ORICON ENTERPRISES LTD.-$,Active,B ,2.00,INE730A01022,Specialty Chemicals,Equity,
513149,"Acrow (India) Ltd.,",ACROW,ACROW INDIA LTD.,Active,X ,10.00,INE950D01012,Iron & Steel Products,Equity,
513173,Steel Strips Infrastructures Limited,STLSTRINF,STEEL STRIPS INFRASTRUCTURES LTD.,Active,XT,10.00,INE205F01016,Realty,Equity,
513179,National Steel & Agro Industries Ltd.,NATNLSTEEL,NATIONAL STEEL & AGRO INDUSTRIES LTD.,Active,T ,10.00,INE088B01015,Iron & Steel/Interm.Products,Equity,
513216,Uttam Galva Steels Ltd.,UTTAMSTL,UTTAM GALVA STEELS LTD.,Active,B ,10.00,INE699A01011,Iron & Steel/Interm.Products,Equity,
513228,"Pennar Industries Ltd.,",PENIND,PENNAR INDUSTRIES LTD.-$,Active,B ,5.00,INE932A01024,Iron & Steel/Interm.Products,Equity,
513250,"Jyoti Structures Ltd.,",JYOTISTRUC,JYOTI STRUCTURES LTD.,Active,Z ,2.00,INE197A01024,Heavy Electrical Equipment,Equity,
513252,Jay Ushin Ltd.,JAYUSH,JAY USHIN LTD.,Active,X ,10.00,INE289D01015,Auto Parts & Equipment,Equity,
513262,Steel Strips & Wheels Ltd,SSWL,STEEL STRIPS WHEELS LTD.-$,Active,B ,10.00,INE802C01017,Auto Parts & Equipment,Equity,
513269,Man Industries (India) Ltd,MANINDS,MAN INDUSTRIES (INDIA) LTD.-$,Active,B ,5.00,INE993A01026,Construction & Engineering,Equity,
513295,IMEC SERVICES LIMITED,IMEC,Imec Services Ltd,Active,XT,10.00,INE611C01012,Consulting Services,Equity,
513303,Modern Steels Limited,MDRNSTL,MODERN STEELS LTD.-$,Active,X ,10.00,INE001F01019,Iron & Steel/Interm.Products,Equity,
513305,TERRASCOPE VENTURES LIMITED,TERRASCOPE,Terrascope Ventures Ltd,Active,X ,5.00,INE346M01022,Misc.Commercial Services,Equity,
513307,"Synthiko Foils Ltd.,",SYNTHFO,SYNTHIKO FOILS LTD.,Active,XT,5.00,INE363L01029,Aluminium,Equity,
513309,Golkonda Aluminium Extrusions Ltd,GOLKONDA,Golkonda Aluminium Extrusions Ltd-$,Active,Z ,10.00,INE327C01031,Aluminium,Equity,
513335,Metalyst Forgings Limited,METALFORGE,Metalyst Forgings Limited,Active,Z ,10.00,INE425A01011,Other Industrial Products,Equity,
513337,Gujarat Toolroom Ltd.,GUJTLRM,GUJARAT TOOLROOM LTD.,Active,XT,10.00,INE145J01024,Plastic Products,Equity,
513343,"Grand Foundry Ltd.,",GRANDFONRY,GRAND FOUNDRY LTD.,Active,T ,4.00,INE534A01028,Iron & Steel Products,Equity,
513349,Ajmera Realty & Infra India Limited,AJMERA,AJMERA REALTY & INFRA INDIA LTD.,Active,B ,10.00,INE298G01027,Realty,Equity,
513353,"Cochin Minerals & Rutile Ltd.,",COCHINM,COCHIN MINERALS & RUTILE LTD.-$,Active,X ,10.00,INE105D01013,Specialty Chemicals,Equity,
513361,India Steel Works Ltd,ISWL,INDIA STEEL WORKS LTD.,Active,XT,1.00,INE072A01029,Iron & Steel/Interm.Products,Equity,
513369,Rajkumar Forge Ltd,RJKMRFR,RAJKUMAR FORGE LTD.,Active,X ,10.00,INE013J01016,Other Industrial Products,Equity,
